0,0,0,3,6,3
0,0,0,2,5,2
0,0,0,1,4,1
0,0,3,6,9,6
0,0,2,5,8,5
0,0,1,4,7,4
0,2,5,8,11,8
11,0,0,0,38,11
10,0,0,0,37,10
9,0,0,0,36,9
8,0,0,0,35,8
7,0,0,0,34,7
6,0,0,0,33,6
5,0,0,0,32,5
4,0,0,0,31,4
3,0,0,0,30,3
2,0,0,0,29,2
1,0,0,0,28,1
19,8,0,0,46,19
18,7,0,0,45,18
17,6,0,0,44,17
16,5,0,0,43,5
15,4,0,0,42,4
14,3,0,0,41,3
13,2,0,0,40,2
12,1,0,0,39,1
21,10,2,0,48,2
20,9,1,0,47,1
23,12,4,2,50,2
0,0,0,11,38,11
0,0,0,10,37,10
0,0,0,9,36,9
0,0,0,8,35,8
0,0,0,7,34,7
0,0,0,6,33,6
0,0,0,5,32,5
0,0,0,4,31,4
0,0,0,3,30,3
0,0,0,2,29,2
0,0,0,1,28,1
0,0,8,19,46,19
0,0,7,18,45,18
0,0,6,17,44,17
0,0,5,16,43,16
0,0,4,15,42,15
0,0,3,14,41,14
0,0,2,13,40,13
0,0,1,12,39,12
0,2,10,21,48,21
0,1,9,20,47,20
2,4,12,23,50,23
0,11,0,0,38,11
0,10,0,0,37,10
0,9,0,0,36,9
0,8,0,0,35,8
0,7,0,0,34,7
0,6,0,0,33,6
0,5,0,0,32,5
0,4,0,0,31,4
0,3,0,0,30,3
0,2,0,0,29,2
0,1,0,0,28,1
0,19,8,0,46,19
0,18,7,0,45,18
0,17,6,0,44,17
0,16,5,0,43,5
0,15,4,0,42,4
0,14,3,0,41,3
0,13,2,0,40,2
0,12,1,0,39,1
0,21,10,2,48,2
0,20,9,1,47,1
2,23,12,4,50,4
0,0,59,0,44,59
0,0,58,0,43,58
0,0,57,0,42,57
0,0,56,0,41,56
0,0,55,0,40,55
0,0,54,0,39,54
0,0,53,0,38,53
0,0,52,0,37,52
0,0,51,0,36,51
0,0,50,0,35,50
0,0,49,0,34,49
0,0,48,0,33,48
0,0,47,0,32,47
0,0,46,0,31,46
0,0,45,0,30,45
0,0,44,0,29,44
0,0,43,0,28,43
0,0,42,0,27,42
0,0,41,0,26,41
0,0,40,0,25,40
0,0,39,0,24,39
0,0,38,0,23,38
0,0,37,0,22,37
0,0,36,0,21,36
0,0,35,0,20,35
0,0,34,0,19,34
0,0,33,0,18,33
0,0,32,0,17,32
0,0,31,0,16,31
0,0,30,0,15,15
0,0,29,0,14,14
0,0,28,0,13,13
0,0,27,0,12,12
0,0,26,0,11,11
0,0,25,0,10,10
0,0,24,0,9,9
0,0,23,0,8,8
0,0,22,0,7,7
0,0,21,0,6,6
0,0,20,0,5,5
0,0,19,0,4,4
0,0,18,0,3,3
0,0,17,0,2,2
0,0,16,0,1,1
0,13,72,0,57,72
0,12,71,0,56,71
0,11,70,0,55,70
0,10,69,0,54,69
0,9,68,0,53,68
0,8,67,0,52,67
0,7,66,0,51,66
0,6,65,0,50,65
0,5,64,0,49,64
0,4,63,0,48,63
0,3,62,0,47,62
0,2,61,0,46,61
0,1,60,0,45,60
0,48,107,35,92,107
0,47,106,34,91,106
0,46,105,33,90,105
0,45,104,32,89,104
0,44,103,31,88,103
0,43,102,30,87,102
0,42,101,29,86,101
0,41,100,28,85,100
0,40,99,27,84,99
0,39,98,26,83,98
0,38,97,25,82,97
0,37,96,24,81,96
0,36,95,23,80,36
0,35,94,22,79,35
0,34,93,21,78,34
0,33,92,20,77,33
0,32,91,19,76,32
0,31,90,18,75,31
0,30,89,17,74,30
0,29,88,16,73,29
0,28,87,15,72,28
0,27,86,14,71,27
0,26,85,13,70,13
0,25,84,12,69,12
0,24,83,11,68,11
0,23,82,10,67,10
0,22,81,9,66,9
0,21,80,8,65,8
0,20,79,7,64,7
0,19,78,6,63,6
0,18,77,5,62,5
0,17,76,4,61,4
0,16,75,3,60,3
0,15,74,2,59,2
0,14,73,1,58,1
13,61,120,48,105,120
0,0,0,44,59,44
0,0,0,43,58,43
0,0,0,42,57,42
0,0,0,41,56,41
0,0,0,40,55,40
0,0,0,39,54,39
0,0,0,38,53,38
0,0,0,37,52,37
0,0,0,36,51,36
0,0,0,35,50,35
0,0,0,34,49,34
0,0,0,33,48,33
0,0,0,32,47,32
0,0,0,31,46,31
0,0,0,30,45,30
0,0,0,29,44,29
0,0,0,28,43,28
0,0,0,27,42,27
0,0,0,26,41,26
0,0,0,25,40,25
0,0,0,24,39,24
0,0,0,23,38,23
0,0,0,22,37,22
0,0,0,21,36,21
0,0,0,20,35,20
0,0,0,19,34,19
0,0,0,18,33,18
0,0,0,17,32,17
0,0,0,16,31,16
0,0,0,15,30,15
0,0,0,14,29,14
0,0,0,13,28,13
0,0,0,12,27,12
0,0,0,11,26,11
0,0,0,10,25,10
0,0,0,9,24,9
0,0,0,8,23,8
0,0,0,7,22,7
0,0,0,6,21,6
0,0,0,5,20,5
0,0,0,4,19,4
0,0,0,3,18,3
0,0,0,2,17,2
0,0,0,1,16,1
0,0,13,57,72,57
0,0,12,56,71,56
0,0,11,55,70,55
0,0,10,54,69,54
0,0,9,53,68,53
0,0,8,52,67,52
0,0,7,51,66,51
0,0,6,50,65,50
0,0,5,49,64,49
0,0,4,48,63,48
0,0,3,47,62,47
0,0,2,46,61,46
0,0,1,45,60,45
0,35,48,92,107,92
0,34,47,91,106,91
0,33,46,90,105,90
0,32,45,89,104,89
0,31,44,88,103,88
0,30,43,87,102,87
0,29,42,86,101,86
0,28,41,85,100,85
0,27,40,84,99,84
0,26,39,83,98,83
0,25,38,82,97,82
0,24,37,81,96,81
0,23,36,80,95,80
0,22,35,79,94,79
0,21,34,78,93,78
0,20,33,77,92,77
0,19,32,76,91,76
0,18,31,75,90,75
0,17,30,74,89,74
0,16,29,73,88,73
0,15,28,72,87,72
0,14,27,71,86,71
0,13,26,70,85,70
0,12,25,69,84,69
0,11,24,68,83,68
0,10,23,67,82,67
0,9,22,66,81,66
0,8,21,65,80,65
0,7,20,64,79,64
0,6,19,63,78,63
0,5,18,62,77,62
0,4,17,61,76,61
0,3,16,60,75,60
0,2,15,59,74,59
0,1,14,58,73,58
13,48,61,105,120,105
0,44,0,0,59,44
0,43,0,0,58,43
0,42,0,0,57,42
0,41,0,0,56,41
0,40,0,0,55,40
0,39,0,0,54,39
0,38,0,0,53,38
0,37,0,0,52,37
0,36,0,0,51,36
0,35,0,0,50,35
